# reference: 195366
# type: uncorrelated
500 126435
70 347
169 163
185 149
556 414
365 214
495 621
265 31
872 353
194 263
9 667
330 871
363 443
674 546
348 605
878 204
682 661
729 157
758 451
877 426
440 7
174 410
558 465
545 943
48 108
588 489
27 626
819 913
176 230
830 980
152 400
313 496
616 738
413 370
84 844
207 171
327 214
388 628
681 399
915 906
109 836
259 574
243 932
930 130
783 494
269 654
427 845
798 556
906 293
605 231
989 111
794 747
981 182
899 2
439 866
463 907
769 977
475 278
122 923
652 735
358 932
487 76
283 524
589 52
342 231
202 822
431 516
741 179
646 375
759 796
103 205
643 225
415 954
134 776
543 922
639 64
183 784
654 191
773 805
908 667
196 516
607 941
574 891
427 866
22 623
537 243
666 537
747 524
144 900
89 873
167 559
207 688
752 864
688 344
46 556
393 528
187 552
321 415
472 657
140 97
804 365
794 810
572 674
204 638
460 544
266 157
33 372
967 814
828 54
582 721
809 188
299 29
426 199
59 731
413 255
123 932
508 149
880 234
441 50
23 716
880 124
293 864
95 786
200 35
936 267
457 926
892 276
841 557
929 532
260 784
185 347
552 635
169 862
766 747
376 783
395 726
664 10
448 986
79 676
471 525
980 411
102 76
514 104
593 593
376 396
691 657
620 295
690 674
217 323
96 403
847 348
799 129
321 768
708 290
8 503
579 164
708 842
613 309
329 194
632 608
310 178
313 759
301 516
575 999
631 297
967 716
152 454
117 1000
484 667
146 229
7 910
734 930
313 653
152 416
210 56
700 461
217 164
701 174
205 363
594 372
809 138
828 904
463 337
261 156
73 647
841 485
676 191
550 706
302 722
972 174
987 592
260 729
211 442
806 733
524 491
324 981
532 458
274 314
892 336
463 991
792 365
954 734
814 690
384 428
456 587
869 845
786 211
312 672
734 335
814 11
677 15
369 752
835 192
910 104
540 107
631 870
201 695
627 873
423 991
96 573
810 934
642 312
948 743
942 341
913 781
183 698
970 87
197 816
721 85
952 901
159 712
652 528
836 960
563 844
258 765
572 150
946 597
484 259
533 997
584 273
303 440
563 505
727 761
95 256
661 541
455 570
219 313
27 375
720 982
237 862
476 268
935 511
9 186
495 656
245 56
139 542
335 265
109 13
554 905
91 698
720 260
636 964
50 938
948 133
873 510
378 55
665 809
186 36
111 988
312 153
57 164
485 205
498 40
304 267
824 452
701 876
798 96
362 693
118 568
788 930
13 645
984 563
428 261
107 2
183 25
567 13
889 775
752 809
151 510
365 224
161 432
469 811
773 681
113 328
696 173
190 771
37 22
139 388
743 112
451 602
340 188
616 14
985 572
320 829
836 382
313 390
430 605
840 366
805 515
151 937
902 967
622 211
839 56
739 312
980 229
339 763
389 549
314 594
757 553
326 756
871 495
665 635
874 724
84 250
256 272
908 250
783 437
907 393
619 56
649 456
805 190
905 800
749 919
398 559
676 780
787 257
128 567
579 890
680 651
841 252
992 659
17 724
781 228
280 60
55 479
678 407
804 989
96 942
225 21
543 811
904 722
442 588
246 733
993 808
68 154
119 251
568 931
166 561
835 950
557 294
943 633
920 179
575 522
250 990
292 219
999 749
992 817
28 791
778 628
555 741
49 295
27 968
533 682
241 33
159 739
721 563
593 328
436 168
249 244
731 436
315 416
390 474
405 62
734 958
908 374
655 921
318 729
830 412
69 649
780 762
472 879
890 744
822 847
315 98
501 812
314 262
638 313
576 67
769 167
641 902
437 559
866 782
427 956
780 807
917 861
605 633
799 862
961 351
166 62
656 48
367 365
451 759
520 862
343 222
495 47
720 942
919 130
627 497
522 960
312 427
553 302
684 35
782 691
353 397
841 617
252 309
307 899
295 113
289 537
345 562
107 188
651 818
753 718
925 73
584 762
668 602
32 145
748 427
869 99
633 688
416 162
77 708
842 917
383 374
24 925
761 928
629 711
972 196
753 170
932 55
149 5
391 250
609 409
482 464
967 355
333 749
779 627
820 306
606 767
322 945
327 94
454 811
720 479
886 509
316 726
493 295
444 961
936 868
375 202
931 510
698 916
2 290
757 206
751 925
261 83
479 936
527 680
341 257
612 13
798 956
678 135
698 828
771 109
741 10
600 44
717 774
837 568
963 98
610 543
2 888
949 679
339 714
549 974
127 284
535 906
428 612
42 211
154 823
44 193
702 758
505 63
