# reference: 240775
# type: subset_sum
1000 253448
36 36
341 341
220 220
104 104
797 797
247 247
458 458
625 625
553 553
694 694
234 234
873 873
811 811
875 875
302 302
818 818
386 386
397 397
294 294
266 266
231 231
268 268
107 107
794 794
669 669
359 359
419 419
50 50
190 190
860 860
456 456
296 296
830 830
484 484
670 670
945 945
486 486
45 45
856 856
124 124
507 507
161 161
618 618
994 994
195 195
826 826
541 541
693 693
409 409
420 420
509 509
173 173
448 448
719 719
907 907
56 56
105 105
665 665
299 299
903 903
105 105
460 460
392 392
591 591
849 849
823 823
520 520
789 789
699 699
941 941
110 110
729 729
767 767
304 304
181 181
841 841
430 430
213 213
296 296
660 660
477 477
215 215
452 452
203 203
585 585
199 199
872 872
232 232
514 514
966 966
127 127
581 581
843 843
354 354
796 796
21 21
154 154
122 122
489 489
625 625
55 55
86 86
919 919
526 526
648 648
695 695
445 445
36 36
44 44
400 400
753 753
425 425
888 888
267 267
977 977
357 357
302 302
636 636
453 453
692 692
135 135
490 490
656 656
965 965
25 25
828 828
801 801
674 674
458 458
440 440
479 479
250 250
615 615
764 764
257 257
338 338
780 780
780 780
503 503
23 23
954 954
577 577
678 678
615 615
7 7
266 266
233 233
488 488
418 418
714 714
351 351
672 672
287 287
200 200
747 747
603 603
398 398
982 982
51 51
506 506
233 233
995 995
814 814
119 119
964 964
838 838
91 91
283 283
191 191
764 764
572 572
294 294
59 59
383 383
696 696
160 160
160 160
367 367
824 824
311 311
974 974
900 900
422 422
300 300
247 247
872 872
584 584
336 336
94 94
922 922
13 13
457 457
309 309
68 68
432 432
160 160
299 299
875 875
952 952
877 877
383 383
919 919
956 956
909 909
573 573
283 283
964 964
224 224
540 540
920 920
762 762
596 596
655 655
768 768
511 511
781 781
392 392
580 580
761 761
336 336
173 173
533 533
477 477
573 573
756 756
98 98
787 787
875 875
579 579
798 798
949 949
726 726
742 742
140 140
449 449
442 442
4 4
909 909
696 696
562 562
270 270
242 242
422 422
647 647
755 755
884 884
283 283
696 696
170 170
286 286
967 967
613 613
748 748
723 723
343 343
376 376
467 467
46 46
303 303
768 768
703 703
707 707
132 132
351 351
140 140
778 778
758 758
273 273
832 832
417 417
839 839
678 678
658 658
940 940
992 992
166 166
566 566
975 975
31 31
901 901
651 651
369 369
635 635
398 398
894 894
647 647
263 263
944 944
153 153
806 806
410 410
123 123
12 12
165 165
89 89
31 31
150 150
21 21
476 476
518 518
657 657
13 13
618 618
228 228
153 153
511 511
867 867
175 175
3 3
405 405
821 821
909 909
50 50
285 285
87 87
737 737
409 409
770 770
141 141
431 431
573 573
894 894
770 770
706 706
233 233
108 108
472 472
648 648
487 487
206 206
637 637
802 802
661 661
240 240
187 187
732 732
7 7
438 438
991 991
902 902
130 130
644 644
129 129
908 908
178 178
95 95
311 311
374 374
209 209
545 545
398 398
47 47
805 805
915 915
92 92
364 364
958 958
813 813
740 740
68 68
96 96
776 776
258 258
128 128
