# optimal: 23040
# type: strongly_correlated
100 23840
365 355
68 58
245 235
465 455
23 13
221 211
964 954
602 592
341 331
686 676
11 1
795 785
225 215
931 921
541 531
926 916
792 782
327 317
660 650
165 155
611 601
83 73
426 416
904 894
41 31
325 315
13 3
290 280
61 51
316 306
767 757
798 788
790 780
763 753
20 10
52 42
279 269
813 803
306 296
969 959
896 886
104 94
106 96
642 632
406 396
935 925
19 9
828 818
471 461
397 387
511 501
374 364
343 333
424 414
120 110
548 538
806 796
431 421
914 904
666 656
590 580
671 661
200 190
746 736
719 709
482 472
999 989
980 970
272 262
572 562
621 611
544 534
448 438
111 101
865 855
206 196
617 607
77 67
551 541
934 924
840 830
400 390
218 208
180 170
143 133
379 369
93 83
724 714
870 860
865 855
995 985
18 8
98 88
526 516
74 64
531 521
505 495
961 951
781 771
353 343
