# optimal: 121608
# type: subset_sum
500 128011
107 107
781 781
309 309
899 899
957 957
989 989
499 499
537 537
736 736
825 825
779 779
692 692
412 412
287 287
447 447
604 604
679 679
846 846
314 314
490 490
752 752
917 917
639 639
797 797
10 10
601 601
929 929
763 763
113 113
879 879
423 423
824 824
508 508
906 906
422 422
513 513
339 339
644 644
661 661
766 766
237 237
736 736
238 238
311 311
47 47
236 236
626 626
921 921
954 954
389 389
605 605
119 119
70 70
262 262
436 436
289 289
608 608
454 454
878 878
567 567
598 598
264 264
350 350
584 584
210 210
427 427
967 967
133 133
110 110
1 1
185 185
956 956
539 539
902 902
544 544
6 6
401 401
412 412
10 10
82 82
228 228
230 230
253 253
34 34
815 815
971 971
789 789
482 482
951 951
136 136
65 65
481 481
210 210
392 392
486 486
396 396
585 585
823 823
619 619
352 352
131 131
576 576
903 903
434 434
532 532
636 636
34 34
688 688
741 741
556 556
446 446
236 236
818 818
56 56
29 29
338 338
576 576
147 147
822 822
661 661
538 538
772 772
439 439
437 437
764 764
626 626
42 42
176 176
135 135
904 904
183 183
183 183
277 277
786 786
259 259
12 12
576 576
342 342
827 827
679 679
830 830
209 209
895 895
993 993
976 976
194 194
762 762
47 47
646 646
913 913
921 921
170 170
798 798
684 684
723 723
605 605
892 892
336 336
831 831
450 450
897 897
503 503
17 17
285 285
131 131
27 27
601 601
319 319
299 299
599 599
549 549
733 733
762 762
500 500
26 26
615 615
154 154
686 686
73 73
972 972
508 508
359 359
649 649
677 677
620 620
711 711
275 275
490 490
534 534
259 259
606 606
126 126
946 946
25 25
499 499
732 732
87 87
964 964
610 610
975 975
940 940
91 91
730 730
139 139
918 918
567 567
189 189
764 764
378 378
424 424
682 682
335 335
72 72
273 273
68 68
712 712
613 613
892 892
598 598
246 246
582 582
657 657
650 650
619 619
397 397
787 787
567 567
710 710
216 216
758 758
214 214
637 637
794 794
115 115
674 674
558 558
238 238
300 300
970 970
383 383
329 329
302 302
775 775
303 303
653 653
686 686
445 445
186 186
599 599
54 54
744 744
31 31
612 612
169 169
618 618
759 759
551 551
264 264
50 50
925 925
62 62
212 212
375 375
468 468
248 248
749 749
452 452
985 985
507 507
338 338
527 527
598 598
580 580
177 177
758 758
497 497
644 644
992 992
157 157
929 929
484 484
873 873
738 738
366 366
664 664
1000 1000
651 651
935 935
314 314
553 553
769 769
646 646
776 776
652 652
246 246
37 37
999 999
686 686
847 847
762 762
95 95
601 601
707 707
369 369
462 462
247 247
121 121
321 321
334 334
178 178
878 878
728 728
717 717
763 763
618 618
183 183
473 473
152 152
215 215
965 965
205 205
600 600
169 169
304 304
998 998
275 275
568 568
867 867
464 464
229 229
227 227
522 522
47 47
783 783
901 901
483 483
12 12
361 361
313 313
825 825
47 47
450 450
365 365
876 876
38 38
445 445
522 522
767 767
98 98
584 584
362 362
63 63
834 834
59 59
328 328
260 260
975 975
943 943
610 610
88 88
964 964
625 625
248 248
667 667
78 78
866 866
955 955
301 301
872 872
478 478
680 680
705 705
471 471
28 28
328 328
560 560
953 953
946 946
655 655
76 76
746 746
440 440
168 168
23 23
837 837
7 7
934 934
461 461
473 473
716 716
619 619
15 15
517 517
326 326
349 349
241 241
84 84
860 860
272 272
141 141
347 347
672 672
689 689
369 369
671 671
753 753
772 772
669 669
565 565
21 21
653 653
204 204
896 896
952 952
832 832
654 654
33 33
586 586
821 821
925 925
604 604
851 851
834 834
473 473
608 608
459 459
548 548
596 596
707 707
461 461
237 237
571 571
434 434
14 14
598 598
7 7
832 832
857 857
732 732
296 296
843 843
947 947
650 650
839 839
325 325
48 48
92 92
651 651
556 556
995 995
761 761
697 697
275 275
688 688
238 238
357 357
324 324
643 643
744 744
575 575
811 811
36 36
310 310
724 724
882 882
863 863
875 875
212 212
198 198
414 414
309 309
779 779
394 394
279 279
567 567
231 231
105 105
873 873
497 497
415 415
123 123
311 311
491 491
477 477
986 986
780 780
611 611
581 581
739 739
444 444
876 876
976 976
424 424
396 396
820 820
437 437
667 667
721 721
293 293
452 452
