# optimal: 53440
# type: weakly_correlated
200 51568
95 185
1 13
459 500
134 80
659 757
626 536
525 490
875 942
805 884
997 898
253 172
562 516
711 788
792 836
744 785
887 826
313 244
128 220
310 282
14 91
42 33
206 209
117 201
528 598
132 80
609 690
440 505
179 165
565 523
723 765
4 101
625 585
337 346
459 475
1 16
584 523
201 138
790 886
539 610
269 363
965 994
601 644
219 142
243 144
739 709
724 656
441 469
791 886
705 796
149 222
384 440
1 17
866 807
203 176
382 465
381 470
257 308
320 312
287 275
198 221
390 424
372 382
993 918
431 348
318 348
1 35
491 455
451 547
342 273
335 324
99 196
763 697
885 863
179 143
105 133
750 796
470 559
347 350
759 706
924 916
276 321
838 844
829 801
797 878
728 766
1010 981
695 712
138 68
97 11
826 777
858 893
908 857
158 252
886 919
457 461
435 436
755 821
279 305
292 202
123 194
573 556
825 742
882 873
220 281
35 105
641 544
475 538
861 888
418 378
274 280
167 146
382 407
835 934
858 853
625 557
50 25
390 431
207 302
790 836
911 942
860 880
365 331
796 778
470 473
839 907
955 948
145 144
219 158
687 733
252 185
412 414
985 999
408 333
787 777
539 626
690 617
940 967
450 415
206 231
848 783
268 234
311 272
341 328
1062 970
206 278
125 67
128 134
482 545
1043 948
14 62
541 501
155 59
1082 995
42 57
501 491
21 83
910 836
432 466
642 558
543 553
109 54
1085 986
469 549
524 456
829 847
407 507
666 677
216 309
1085 990
2 39
740 722
381 333
872 823
760 709
571 583
805 873
882 872
39 46
1039 946
594 569
685 677
417 482
267 215
694 710
697 656
700 627
611 523
639 711
53 38
919 941
786 851
1004 977
290 337
310 390
988 893
626 559
761 850
791 775
399 489
831 870
