# reference: 131835
# type: weakly_correlated
500 126574
972 928
506 504
712 784
239 262
605 705
905 840
699 744
726 778
762 854
839 886
667 715
141 189
578 582
623 578
84 28
335 394
857 887
836 930
84 57
372 394
177 252
925 916
221 265
1 2
752 652
249 339
123 77
567 621
368 457
733 665
336 339
145 72
139 216
221 260
286 304
825 757
670 769
790 696
237 166
470 401
1033 978
370 363
279 333
546 642
1063 969
631 694
677 754
711 801
282 207
38 126
701 688
192 152
363 402
183 107
483 424
181 123
1038 951
376 387
462 494
551 513
653 734
191 185
173 73
806 881
661 705
696 653
758 700
222 302
395 327
387 296
640 623
243 205
946 897
125 25
312 290
552 534
621 685
833 793
466 515
384 370
471 507
959 936
527 458
815 836
513 539
119 67
366 332
245 263
294 284
497 421
454 512
740 806
571 485
433 446
75 74
675 660
324 297
242 309
223 169
309 332
322 266
107 129
729 757
330 371
26 32
290 242
656 561
983 954
437 433
78 132
490 444
644 546
12 74
745 709
274 184
587 609
972 954
499 563
433 342
375 318
906 951
89 74
205 299
759 707
170 220
254 249
862 773
675 649
450 380
743 697
906 952
395 308
655 722
203 117
1032 954
489 557
637 556
814 866
749 668
269 277
721 760
847 906
17 48
620 694
768 678
943 956
224 212
323 225
980 968
499 445
497 478
69 168
418 328
646 592
767 771
451 428
1042 955
558 652
1059 987
616 616
20 33
763 759
738 642
999 904
49 113
683 652
381 284
737 803
612 598
896 866
949 992
881 821
183 213
126 104
294 270
879 900
396 416
339 297
881 934
503 545
204 200
727 735
164 78
1 35
299 232
778 699
408 414
402 465
679 771
911 820
751 730
1 49
256 230
103 164
54 39
3 42
449 399
315 384
636 717
780 798
1016 942
707 667
55 5
948 879
797 779
578 553
322 277
645 713
3 47
684 650
692 633
553 481
694 738
552 460
521 493
192 139
691 787
241 257
652 696
796 814
284 293
249 347
372 298
162 244
74 58
748 801
25 90
793 750
749 699
10 108
830 761
736 715
600 693
831 771
401 344
212 165
555 463
689 710
453 431
547 600
486 524
615 690
610 545
561 542
164 81
419 489
207 271
934 934
927 916
145 56
375 467
260 183
877 940
1 25
548 500
90 149
145 89
397 476
967 950
364 381
774 867
701 787
920 953
263 356
607 517
879 877
159 160
1 6
305 269
486 416
101 183
427 425
192 146
179 189
938 978
354 310
142 78
548 591
215 230
686 647
441 415
819 784
360 302
751 760
539 610
142 141
777 845
596 538
777 680
627 691
883 795
506 529
345 383
530 626
776 875
1 29
645 603
601 564
313 373
914 945
466 426
224 318
282 311
426 404
983 944
269 323
443 434
5 42
1037 994
705 608
1018 975
804 750
446 493
144 101
407 361
1 26
473 495
367 465
754 766
218 276
839 827
475 500
577 674
870 897
97 134
971 923
720 805
521 549
205 223
191 269
1 61
537 509
702 704
1 10
1007 993
731 676
580 601
327 318
364 365
237 246
613 675
154 252
834 868
550 581
240 187
637 582
57 37
1 73
244 200
982 974
708 686
545 642
47 143
949 963
470 417
571 499
895 886
509 534
557 633
287 230
603 649
872 867
858 865
483 424
364 435
381 418
211 217
728 783
683 691
428 393
19 102
435 374
712 785
441 369
935 847
668 726
293 370
159 247
823 765
1 29
689 633
391 443
590 664
105 65
370 341
292 297
82 76
595 579
223 170
516 475
548 618
559 531
714 759
230 157
745 845
423 496
569 599
875 940
7 88
399 405
137 192
122 56
191 172
775 800
443 437
402 453
194 217
472 466
672 581
344 375
161 121
87 136
766 729
625 543
1040 1000
458 494
672 767
580 618
124 25
226 262
331 334
319 245
192 216
886 818
1 24
643 580
754 845
981 918
91 122
520 434
651 708
632 695
336 436
629 652
603 682
707 615
926 836
665 626
156 252
739 712
604 618
800 765
314 383
612 696
858 890
416 493
947 876
747 826
472 507
256 165
963 898
690 701
936 915
536 441
794 701
381 401
75 146
261 174
392 333
315 351
554 642
1 1
637 607
214 225
643 600
896 819
331 260
79 73
400 426
460 466
308 351
808 798
664 730
717 681
679 747
1012 934
86 106
508 467
522 502
748 823
476 419
809 794
930 862
442 471
1008 970
741 720
797 782
730 795
824 773
922 979
801 751
668 738
355 446
656 614
638 615
42 86
910 987
472 512
110 200
889 967
