# reference: 40187
# type: uncorrelated
100 24219
152 432
320 109
452 1000
670 737
399 628
898 553
739 710
967 686
502 522
438 653
672 193
227 792
941 851
756 933
499 866
999 794
817 215
442 350
578 667
102 63
985 718
449 788
488 733
421 872
255 829
269 155
972 866
745 634
761 379
225 71
147 518
445 242
368 738
780 7
506 147
570 732
56 28
105 131
224 158
282 96
114 857
901 526
113 333
718 442
86 311
386 32
876 121
532 438
859 124
509 491
879 992
347 750
770 52
906 893
735 303
792 566
785 31
449 254
131 917
373 17
971 867
921 903
12 715
102 400
701 293
335 972
592 455
215 60
287 734
869 817
538 192
29 677
201 500
807 829
711 434
329 503
691 822
531 736
704 404
504 451
620 170
807 241
40 479
832 135
8 177
431 484
768 178
242 755
844 162
692 22
677 475
987 158
782 941
905 783
356 546
444 366
600 568
598 32
63 622
972 334
