# reference: 243723
# type: strongly_correlated
1000 249815
414 404
668 658
800 790
415 405
737 727
113 103
703 693
236 226
816 806
615 605
335 325
236 226
765 755
836 826
202 192
934 924
550 540
750 740
773 763
431 421
232 222
830 820
781 771
848 838
126 116
940 930
739 729
734 724
822 812
408 398
806 796
562 552
699 689
191 181
159 149
610 600
405 395
64 54
607 597
929 919
931 921
450 440
996 986
170 160
619 609
620 610
407 397
383 373
968 958
120 110
216 206
64 54
336 326
647 637
977 967
345 335
507 497
510 500
274 264
26 16
941 931
381 371
870 860
949 939
163 153
929 919
51 41
943 933
360 350
136 126
164 154
801 791
196 186
609 599
449 439
699 689
204 194
17 7
80 70
920 910
543 533
222 212
179 169
422 412
176 166
38 28
143 133
318 308
722 712
258 248
182 172
510 500
218 208
47 37
589 579
226 216
848 838
653 643
504 494
307 297
501 491
933 923
154 144
29 19
661 651
965 955
711 701
766 756
751 741
472 462
128 118
713 703
70 60
991 981
762 752
842 832
1003 993
606 596
861 851
508 498
228 218
87 77
924 914
760 750
921 911
574 564
343 333
298 288
433 423
383 373
247 237
999 989
796 786
539 529
213 203
365 355
111 101
141 131
80 70
776 766
269 259
254 244
308 298
688 678
913 903
970 960
935 925
516 506
786 776
746 736
917 907
681 671
81 71
109 99
88 78
305 295
15 5
820 810
549 539
399 389
274 264
525 515
923 913
43 33
465 455
620 610
891 881
292 282
231 221
886 876
678 668
261 251
267 257
992 982
752 742
452 442
399 389
639 629
280 270
898 888
813 803
778 768
701 691
132 122
276 266
225 215
959 949
494 484
391 381
747 737
453 443
730 720
745 735
784 774
429 419
97 87
883 873
573 563
700 690
39 29
552 542
683 673
498 488
36 26
165 155
567 557
849 839
473 463
104 94
932 922
703 693
260 250
775 765
15 5
850 840
675 665
983 973
399 389
885 875
109 99
869 859
366 356
11 1
946 936
139 129
839 829
299 289
694 684
195 185
705 695
648 638
233 223
180 170
542 532
810 800
163 153
280 270
129 119
809 799
425 415
709 699
367 357
905 895
229 219
277 267
375 365
637 627
591 581
1004 994
766 756
566 556
487 477
371 361
134 124
101 91
261 251
143 133
850 840
679 669
222 212
598 588
368 358
76 66
152 142
530 520
453 443
398 388
28 18
493 483
435 425
464 454
613 603
113 103
794 784
899 889
420 410
105 95
59 49
949 939
996 986
962 952
162 152
81 71
900 890
227 217
518 508
275 265
71 61
682 672
568 558
920 910
868 858
614 604
61 51
503 493
347 337
454 444
186 176
283 273
658 648
280 270
340 330
916 906
991 981
142 132
805 795
826 816
160 150
799 789
521 511
746 736
900 890
588 578
699 689
357 347
72 62
70 60
986 976
502 492
758 748
307 297
211 201
142 132
787 777
819 809
888 878
72 62
77 67
587 577
220 210
694 684
484 474
562 552
887 877
237 227
288 278
797 787
572 562
798 788
574 564
523 513
846 836
830 820
185 175
640 630
147 137
30 20
130 120
794 784
348 338
957 947
840 830
814 804
733 723
873 863
255 245
454 444
313 303
241 231
31 21
971 961
665 655
699 689
749 739
391 381
531 521
849 839
483 473
481 471
446 436
890 880
325 315
565 555
679 669
294 284
501 491
830 820
531 521
174 164
503 493
702 692
857 847
816 806
546 536
880 870
77 67
115 105
466 456
249 239
327 317
766 756
786 776
936 926
305 295
46 36
798 788
564 554
183 173
897 887
871 861
492 482
17 7
144 134
728 718
628 618
653 643
554 544
521 511
650 640
958 948
575 565
367 357
405 395
891 881
658 648
745 735
296 286
614 604
231 221
584 574
691 681
240 230
797 787
370 360
263 253
738 728
837 827
210 200
129 119
56 46
217 207
292 282
995 985
495 485
230 220
251 241
348 338
835 825
828 818
695 685
725 715
499 489
423 413
652 642
405 395
18 8
930 920
233 223
706 696
37 27
926 916
70 60
662 652
509 499
930 920
1007 997
660 650
733 723
150 140
718 708
730 720
624 614
429 419
360 350
154 144
522 512
897 887
991 981
81 71
853 843
262 252
199 189
462 452
178 168
715 705
799 789
431 421
211 201
803 793
900 890
438 428
806 796
316 306
643 633
249 239
406 396
184 174
461 451
281 271
818 808
587 577
829 819
234 224
920 910
880 870
235 225
194 184
124 114
679 669
546 536
557 547
144 134
607 597
600 590
416 406
795 785
901 891
280 270
711 701
369 359
167 157
281 271
255 245
367 357
47 37
569 559
211 201
495 485
88 78
273 263
63 53
453 443
300 290
488 478
872 862
740 730
563 553
908 898
913 903
421 411
168 158
991 981
541 531
963 953
279 269
231 221
259 249
380 370
848 838
856 846
773 763
27 17
755 745
570 560
815 805
281 271
522 512
23 13
678 668
355 345
985 975
205 195
780 770
889 879
133 123
820 810
322 312
95 85
74 64
303 293
890 880
915 905
826 816
666 656
658 648
347 337
49 39
669 659
679 669
995 985
924 914
965 955
92 82
683 673
740 730
349 339
195 185
285 275
578 568
725 715
497 487
389 379
560 550
435 425
303 293
297 287
886 876
251 241
211 201
454 444
14 4
932 922
224 214
827 817
995 985
825 815
936 926
700 690
855 845
678 668
216 206
320 310
459 449
69 59
66 56
843 833
911 901
933 923
533 523
840 830
494 484
267 257
643 633
456 446
165 155
672 662
491 481
301 291
496 486
118 108
791 781
510 500
218 208
164 154
1000 990
385 375
330 320
664 654
721 711
18 8
825 815
286 276
283 273
211 201
43 33
52 42
121 111
27 17
88 78
819 809
132 122
407 397
293 283
1006 996
359 349
875 865
92 82
980 970
331 321
97 87
956 946
193 183
516 506
811 801
248 238
980 970
438 428
241 231
910 900
414 404
673 663
844 834
536 526
956 946
864 854
872 862
858 848
340 330
185 175
517 507
696 686
537 527
218 208
687 677
126 116
719 709
985 975
69 59
162 152
39 29
253 243
20 10
499 489
895 885
364 354
723 713
468 458
518 508
752 742
153 143
496 486
950 940
179 169
611 601
23 13
918 908
714 704
960 950
754 744
275 265
142 132
219 209
882 872
620 610
764 754
692 682
397 387
484 474
890 880
976 966
330 320
633 623
569 559
475 465
276 266
357 347
813 803
713 703
174 164
603 593
255 245
16 6
228 218
503 493
517 507
404 394
588 578
469 459
882 872
926 916
851 841
80 70
460 450
206 196
918 908
416 406
796 786
16 6
993 983
923 913
695 685
27 17
909 899
270 260
317 307
37 27
752 742
367 357
744 734
715 705
14 4
145 135
919 909
410 400
443 433
390 380
273 263
722 712
485 475
466 456
666 656
560 550
815 805
451 441
201 191
94 84
639 629
121 111
74 64
638 628
904 894
325 315
414 404
204 194
139 129
965 955
97 87
788 778
129 119
435 425
898 888
993 983
745 735
542 532
548 538
110 100
752 742
751 741
112 102
668 658
385 375
106 96
579 569
459 449
555 545
646 636
752 742
382 372
431 421
869 859
104 94
224 214
48 38
822 812
596 586
136 126
243 233
548 538
535 525
417 407
605 595
219 209
305 295
674 664
846 836
270 260
66 56
67 57
331 321
516 506
